dataset	description	version	name	taxon_id	genbank_accession	mart	n_gene	n_bp_genesets	n_cc_genesets	n_mf_genesets	ncbi_genome_link
aastaci_eg_gene	Aphanomyces astaci genes (GCA000520075v1)	GCA000520075v1	Saccharomyces pastorianus	27292	GCA_011022315.1	fungi_mart	19584	2210	534	1516	https://ftp.ncbi.nih.gov/genomes/all/GCA/011/022/315//GCA_011022315.1_ASM1102231v1/GCA_011022315.1_ASM1102231v1_assembly_report.txt
aclavatus_eg_gene	Aspergillus clavatus NRRL 1 genes (ASM271v1)	ASM271v1	Aspergillus clavatus NRRL 1	344612	GCA_000002715.1	fungi_mart	9356	4100	894	2120	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/715//GCA_000002715.1_ASM271v1/GCA_000002715.1_ASM271v1_assembly_report.txt
aflavus_eg_gene	Aspergillus flavus NRRL3357 genes (JCVI-afl1-v2.0)	JCVI-afl1-v2.0	Aspergillus flavus NRRL3357	332952	GCA_000006275.2	fungi_mart	13485	4083	883	2073	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/006/275//GCA_000006275.2_JCVI-afl1-v2.0/GCA_000006275.2_JCVI-afl1-v2.0_assembly_report.txt
afumigatus_eg_gene	Aspergillus fumigatus Af293 genes (ASM265v1)	ASM265v1	Aspergillus fumigatus Af293	330879	GCA_000002655.1	fungi_mart	9859	4809	1026	2623	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/655//GCA_000002655.1_ASM265v1/GCA_000002655.1_ASM265v1_assembly_report.txt
afumigatusa1163_eg_gene	Aspergillus fumigatus A1163 genes (ASM15014v1)	ASM15014v1	Aspergillus fumigatus A1163	451804	GCA_000150145.1	fungi_mart	10109	3840	866	2015	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/150/145//GCA_000150145.1_ASM15014v1/GCA_000150145.1_ASM15014v1_assembly_report.txt
agossypii_eg_gene	Ashbya gossypii genes (ASM9102v1)	ASM9102v1	Ashbya gossypii	284811	GCA_000091025.3	fungi_mart	5520	4969	1061	2320	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/091/025//GCA_000091025.3_ASM9102v3/GCA_000091025.3_ASM9102v3_assembly_report.txt
ainvadans_eg_gene	Aphanomyces invadans genes (GCA000520115v1)	GCA000520115v1	Talaromyces marneffei	37727	GCA_009556855.1	fungi_mart	15416	2236	525	1519	https://ftp.ncbi.nih.gov/genomes/all/GCA/009/556/855//GCA_009556855.1_ASM955685v1/GCA_009556855.1_ASM955685v1_assembly_report.txt
anidulans_eg_gene	Aspergillus nidulans genes (ASM1142v1)	ASM1142v1	Aspergillus nidulans	227321	GCA_000011425.1	fungi_mart	10828	4989	1063	2568	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/011/425//GCA_000011425.1_ASM1142v1/GCA_000011425.1_ASM1142v1_assembly_report.txt
aniger_eg_gene	Aspergillus niger genes (ASM285v2)	ASM285v2	Aspergillus niger	5061	GCA_000002855.2	fungi_mart	14772	4815	987	2588	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/855//GCA_000002855.2_ASM285v2/GCA_000002855.2_ASM285v2_assembly_report.txt
aoryzae_eg_gene	Aspergillus oryzae RIB40 genes (ASM18445v3)	ASM18445v3	Aspergillus oryzae RIB40	510516	GCA_000184455.3	fungi_mart	12376	4168	890	2100	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/184/455//GCA_000184455.3_ASM18445v3/GCA_000184455.3_ASM18445v3_assembly_report.txt
aterreus_eg_gene	Aspergillus terreus NIH2624 genes (ASM14961v1)	ASM14961v1	Aspergillus terreus NIH2624	341663	GCA_000149615.1	fungi_mart	10551	4048	882	2088	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/149/615//GCA_000149615.1_ASM14961v1/GCA_000149615.1_ASM14961v1_assembly_report.txt
bbassiana_eg_gene	Beauveria bassiana genes (ASM168263v1)	ASM168263v1	Beauveria bassiana	176275	GCA_001682635.1	fungi_mart	10286	3871	859	2119	https://ftp.ncbi.nih.gov/genomes/all/GCA/001/682/635//GCA_001682635.1_ASM168263v1/GCA_001682635.1_ASM168263v1_assembly_report.txt
bcinerea_eg_gene	Botrytis cinerea B05.10 genes (ASM83294v1)	ASM83294v1	Botrytis cinerea B05.10	332648	GCA_000143535.4	fungi_mart	12194	3897	862	1992	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/143/535//GCA_000143535.4_ASM14353v4/GCA_000143535.4_ASM14353v4_assembly_report.txt
bgraminis_eg_gene	Blumeria graminis genes (EF2)	EF2	Blumeria graminis	546991	GCA_000151065.2	fungi_mart	7659	3808	851	1886	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/151/065//GCA_000151065.2_BGH_DH14_v2.0/GCA_000151065.2_BGH_DH14_v2.0_assembly_report.txt
calbicans_eg_gene	Candida albicans genes (GCA000182965v3)	GCA000182965v3	Candida albicans	237561	GCA_000182965.3	fungi_mart	6468	5031	1054	2378	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/182/965//GCA_000182965.3_ASM18296v3/GCA_000182965.3_ASM18296v3_assembly_report.txt
cauris_eg_gene	Candida auris genes (GCA002759435v2)	GCA002759435v2	Candida auris	498019	GCA_002759435.2	fungi_mart	5584	2781	656	1660	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/759/435//GCA_002759435.2_Cand_auris_B8441_V2/GCA_002759435.2_Cand_auris_B8441_V2_assembly_report.txt
cduobushaemulonis_eg_gene	Candida duobushaemulonis genes (GCA002926085v1)	GCA002926085v1	Candida duobushaemulonis	1231522	GCA_002926085.1	fungi_mart	5329	2744	638	1601	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/926/085//GCA_002926085.1_CanDuoHae_v1.0/GCA_002926085.1_CanDuoHae_v1.0_assembly_report.txt
cglabrata_eg_gene	Candida glabrata genes (GCA000002545v2)	GCA000002545v2	Candida glabrata	284593	GCA_000002545.2	fungi_mart	5615	4767	1001	2234	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/002/545//GCA_000002545.2_ASM254v2/GCA_000002545.2_ASM254v2_assembly_report.txt
cgloeosporioides_eg_gene	Colletotrichum gloeosporioides genes (Colletotrichum gloeosporioides Nara gc-5)	Colletotrichum gloeosporioides Nara gc-5	Colletotrichum gloeosporioides Cg-14	1237896	GCA_000446055.1	fungi_mart	16419	3915	849	1976	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/446/055//GCA_000446055.1_Colletotrichum_gloeosporioides1/GCA_000446055.1_Colletotrichum_gloeosporioides1_assembly_report.txt
cgraminicola_eg_gene	Colletotrichum graminicola genes (C_graminicola_M1_001_V1)	C_graminicola_M1_001_V1	Colletotrichum graminicola	645133	GCA_000149035.1	fungi_mart	12511	4040	868	2049	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/149/035//GCA_000149035.1_C_graminicola_M1_001_V1/GCA_000149035.1_C_graminicola_M1_001_V1_assembly_report.txt
chaemuloni_eg_gene	[Candida] haemuloni genes (GCA002926055v1)	GCA002926055v1	[Candida] haemuloni	45357	GCA_002926055.1	fungi_mart	5409	2722	641	1636	https://ftp.ncbi.nih.gov/genomes/all/GCA/002/926/055//GCA_002926055.1_CanHae_1.0/GCA_002926055.1_CanHae_1.0_assembly_report.txt
chigginsianum_eg_gene	Colletotrichum higginsianum genes (ASM31379v2)	ASM31379v2	Colletotrichum higginsianum	80884	GCA_000313795.2	fungi_mart	17261	3742	831	1933	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/313/795//GCA_000313795.2_ASM31379v2/GCA_000313795.2_ASM31379v2_assembly_report.txt
cneoformans_eg_gene	Cryptococcus neoformans var. neoformans JEC21 genes (ASM9104v1)	ASM9104v1	Cryptococcus neoformans var. neoformans JEC21	214684	GCA_000091045.1	fungi_mart	6813	4460	1032	2305	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/091/045//GCA_000091045.1_ASM9104v1/GCA_000091045.1_ASM9104v1_assembly_report.txt
corbiculare_eg_gene	Colletotrichum orbiculare genes (Corbiculare240422v01)	Corbiculare240422v01	Colletotrichum orbiculare	1213857	GCA_000350065.1	fungi_mart	14419	3791	813	1940	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/350/065//GCA_000350065.1_Corbiculare240422v01/GCA_000350065.1_Corbiculare240422v01_assembly_report.txt
cparapsilosis_eg_gene	Candida parapsilosis genes (GCA000182765v2)	GCA000182765v2	Candida parapsilosis	578454	GCA_000182765.2	fungi_mart	5984	4374	919	2068	https://ftp.ncbi.nih.gov/genomes/all/GCA/000/182/765//GCA_000182765.2_ASM18276v2/GCA_000182765.2_ASM18276v2_assembly_report.txt
